_Code;_Description
CBR00106397;"Каша молочная ""Малютка"" гречневая RL 220 гр кор"
CBR00106399;"Каша молочная ""Малютка"" кукурузная RL 220 гр кор"
CBR00106403;"Каша молочная ""Малютка"" овсяная со смесью фруктов 220 гр кор"
CBR00106402;КАША МОЛОЧНАЯ МАЛЮТКА ОВСЯНАЯ,6/220ГР
CBR00106404;КАША МОЛОЧНАЯ МАЛЮТКА ПШЕНИЧ/БАНАН,6/220ГР
CBR00106405;"Каша молочная ""Малютка"" рисовая RL 220 гр кор"
CBR00113098;"Молочная каша ""Малютка"" овс.со смесью фрук GH"
CBR00106393;"Каша молочная ""Nutrilon"" гречневая 225 гр кор"
CBR00104252;"Детское питание ""Nutricia"" Нутрилон молочная каша кукурузно-рисовая с яблоком с 5 месяцев 225 гр"
CBR00106394;"Каша молочная ""Nutrilon"" овсяная 225 гр кор"
CBR00106395;"Каша молочная ""Nutrilon"" пшеница с фруктами 225 гр кор"
CBR00106392;"Каша молочная ""Nutrilon"" 4 злака 225 гр кор"
CBR00106396;"Каша молочная ""Nutrilon"" пшеничная с печеньем 225 гр кор"
CBR00104290;"Детское питание ""Малыш"" 1  L 350 гр кор"
CBR00104291;"Детское питание ""Малыш"" 2  L 350 гр кор"
CBR00104292;"Детское питание ""Малыш"" 3 350 гр кор"
CBR00104293;"Детское питание ""Малыш"" Истринский с гречневой мукой 350 гр кор"
CBR00104294;"Детское питание ""Малыш"" Истринский с овсяной мукой 350 гр кор"
CBR00104295;"Детское питание ""Малыш"" Истринский с рисовой мукой 350 гр кор"
CBR00106400;"Каша молочная ""Малютка"" мультзлаковая со смесью фруктов 220 гр кор"
CBR00106401;КАША МОЛОЧН.МАЛЮТКА МУЛЬТИЗЛАК.6/220ГР
CBR00104296;"Детское питание ""Малютка"" 1, 12*300 гр кор"
CBR00104297;"Детское питание ""Малютка"" 10*600 гр кор"
CBR00104299;"Детское питание ""Малютка"" 2, 12*300 гр кор"
CBR00104298;"Детское питание ""Малютка"" 2 L 10*600 гр кор"
CBR00104301;"Детское питание ""Малютка"" 3, 12*300 гр кор"
CBR00104300;"Детское питание ""Малютка"" 3 10*600 гр кор"
CBR00104202;"Детское молочко ""Малютка"" 4 L 12*300 гр кор"
CBR00104201;"Детское молочко ""Малютка"" 4 L 10*600 гр кор"
CBR00104244;"Детское питание ""Nutrilon"" Premium 1 R с рождения 400 гр бум/коробка"
CBR00104245;"Детское питание ""Nutrilon"" Premium 1 R с рождения 900 гр бум/коробка"
CBR00104246;"Детское питание ""Nutrilon"" Premium 2 R с 6 месяцев 400 гр бум/коробка"
CBR00104247;"Детское питание ""Nutrilon"" Premium 2 R с 6 месяцев 900 гр бум/коробка"
CBR00104249;"Детское питание ""Nutrilon"" Premium 3 R с 12 месяцев 400 гр бум/коробка"
CBR00104265;"Детское питание ""Nutrilon"" Комфорт 1 с рождения 400 гр ж/б"
KRZ00003615;"Детское питание ""Nutrilon"" Комфорт 2 с 6 месяцев 400 гр ж/б"
CBR00104269;"Детское питание ""Nutrilon"" Пепти Гастро с рождения 450 гр ж/б"
CBR00104270;"Детское питание ""Nutrilon"" Пре 0 с рождения 400 гр ж/б"
CBR00104253;"Детское питание ""Nutricia"" Нутрилон с аминокислотами с рождения 400 гр"
CBR00104263;"Детское питание ""Nutrilon"" Кисломолочный 1 с рождения 400 гр ж/б"
CBR00104248;"Детское питание ""Nutrilon"" Premium 3 R Premium с 12 месяцев 900 гр бум/коробка"
CBR00104250;"Детское питание ""Nutilon"" Premium 4 R Premium с 18 месяцев 400 гр бум/коробка"
CBR00104261;ДЕТСКОЕ ПИТАНИЕ NUTRILON ГИПОАЛЛЕР.400ГР,Ж/Б
CBR00104262;"Детское питание ""Nutrilon"" Гипоаллергенный 2 с 6 месяцев 400 гр ж/б"
CBR00104264;"Детское питание ""Nutrilon"" Кисломолочный 2 с 6 месяцев 400 гр ж/б"
CBR00104266;"Детское питание ""Nutrilon"" Комфорт 1 с рождения 900 гр ж/б"
CBR00104268;"Детское питание ""Nutrilon"" Пепти Аллергия с рождения 400 гр ж/б"
CBR00104260;"Детское питание ""Nutrilon"" Антирефлюкс с рождения 400 гр ж/б"
CBR00104271;"Детское питание ""Nutrilon"" Пре 1 с рождения 400 гр ж/б"
CBR00104211;"Детское питание  ""Nutrilon"" Соя с рождения 400 гр ж/б"
CBR00111214;"Лапша б/п ""AHAKOM"" с говяж.бульон 60 гр стакан"
CBR00111219;"Лапша б/п ""AHAKOM"" с грибн.бульон 60 гр стакан"
CBR00111223;"Лапша б/п ""AHAKOM"" с куриным бульоном 60 гр стакан"
CBR00111212;"Лапша б/п ""AHAKOM"" вк бекона и сыра 55 гр"
CBR00111215;"Лапша б/п ""AHAKOM"" с говяжьим бульоном 55 гр"
CBR00111220;"Лапша б/п ""AHAKOM"" с грибным бульоном 55 гр"
CBR00111222;"Лапша б/п ""AHAKOM"" с куриным бульоном 55 гр"
CBR00111228;"Лапша б/п ""AHAKOM"" со вкусом бекона и сыра 75 гр лоток"
CBR00111217;"Лапша б/п ""AHAKOM"" с Говяжьим Бульоном 75 гр лоток"
CBR00111218;"Лапша б/п ""AHAKOM"" с Грибами 75 гр лоток"
CBR00111221;"Лапша б/п ""AHAKOM"" с дарами моря 75 гр лоток"
CBR00111225;"Лапша б/п ""AHAKOM"" с куриным бульоном 75 гр лоток"
CBR00111227;"Лапша б/п ""AHAKOM"" с острым курин бульоном 75 гр лоток"
CBR00111226;"Лапша б/п ""AHAKOM"" с острым курин бульоном 60 гр"
CBR00111216;"Лапша б/п ""AHAKOM"" с говяжьим бульоном 75 гр"
CBR00111224;"Лапша б/п ""AHAKOM"" с куриным бульоном 75 гр"
CBR00111213;"Лапша б/п ""AHAKOM"" Куриная 114 гр (в тарелке)"
CBR00120014;"Пюре б/п ""AHAKOM"" картоф с гриб и жар лук 150 гр кор"
CBR00120016;"Пюре б/п ""AHAKOM"" картоф с курицей 150 гр кор"
CBR00120008;"Пюре б/п ""AHAKOM"" картоф вк сметаны 35 гр"
CBR00120012;"Пюре б/п ""AHAKOM"" картоф с гренками 35 гр"
CBR00120015;"Пюре б/п ""AHAKOM"" картоф с гриб и жар луком 35 гр"
CBR00120010;"Пюре б/п ""AHAKOM"" картоф гриб и жар лук 40 гр стакан"
CBR00120009;"Пюре б/п ""AHAKOM"" картоф говядина 40 гр стакан"
CBR00120013;"Пюре б/п ""AHAKOM"" картоф с гренками 40 гр"
CBR00120017;"Пюре б/п ""AHAKOM"" картоф с курицей 40 гр стакан"
CBR00120018;"Пюре б/п ""AHAKOM"" картоф со сметаной 40 гр стакан"
CBR00105823;ЙОГУРТ ГЕК СЛИВ/БРИЗ АБРИК/ПЕРС/МАРАК,4,7%,100ГР
CBR00105828;ЙОГУРТ ГЕК СЛИВ/БРИЗ КЛУБ/АНАН,4,7%,100ГР
CBR00105824;"Йогурт ""Гек"" Сливочный бриз Виш/Абр/Ман 7,5% 100 гр"
CBR00105825;ЙОГУРТ ГЕК СЛИВ/БРИЗ ЗЕМЛ/ЯБЛ/ГРУШ,7,5%,100ГР
CBR00105827;ЙОГУРТ ГЕК СЛИВ/БРИЗ КЛУБ/ПЕРС/МАРАК,7,5%,100ГР
CBR00105829;ЙОГУРТ ГЕК СЛИВ/БРИЗ ЛЕС/ЯГОД/АБРИК,7,5%,100ГР
CBR00105830;ЙОГУРТ ГЕК СЛИВ/БРИЗ МАЛИН/ПЕРС/МАНГ,7,5%,100ГР
CBR00105835;"Йогурт ""Гек"" Фруктовый бриз Ан/Ябл/Гр 0,1% 100 гр"
CBR00105837;"Йогурт ""Гек"" Фруктовый бриз Кл/Пер/Мар 0,1% 100 гр"
CBR00105840;"Йогурт ""Гек"" Фруктовый бриз Мал/Черн 0,1% 100 гр"
CBR00105836;"Йогурт ""Гек"" Фруктовый бриз Виш/Аб/Ман 0,1% 100 гр"
CBR00126553;"Чай ""BETA TEA"" Снеговик 150 гр"
CBR00116801;"Печенье ""Barilla"" Mulino Bianco Settembrini estero 250 гр"
CBR00116802;"Печенье ""Barilla"" Mulino Bianco Tarallucci 400 гр"
CBR00116798;"Печенье ""Barilla"" Mulino Bianco Galletti 150 гр"
CBR00116800;"Печенье ""Barilla"" Mulino Bianco pan di stelle 150 гр"
CBR00111841;МАКАРОНЫ BARILLA БАВЕТТЕ 500ГР
CBR00111848;МАКАРОНЫ BARILLA ФАРФАЛЕ 500ГР
CBR00111849;МАКАРОНЫ BARILLA ФЕТТУЧИНИ 500ГР
CBR00111850;МАКАРОНЫ BARILLA ФУЗИЛИ 500ГР
CBR00111843;МАКАРОНЫ BARILLA ЛАЗАНИЯ 500ГР
CBR00111844;"Макароны ""Barilla"" Изделия-Маккерончини 500 гр"
CBR00111845;МАКАРОНЫ BARILLA ПЕННЕ РИГАТЕ 500ГР
CBR00111846;МАКАРОНЫ BARILLA СПАГЕТТИ 500ГР
CBR00111847;МАКАРОНЫ BARILLA СПАГЕТТИНИ 500ГР
CBR00111842;МАКАРОНЫ BARILLA КАПЕЛИНИ 500ГР
CBR00116804;"Печенье ""Barilla"" Mulino Bianco с клубн нач 300 гр"
CBR00116806;"Печенье ""Barilla"" Mulino Bianco с нач карамель 300 гр"
CBR00116805;"Печенье ""Barilla"" Mulino Bianco с нач какао 300 гр"
CBR00116803;"Печенье ""Barilla"" Mulino Bianco с ванильн нач 300 гр"
CBR00110464;КРУАССАН 7 DAYS ВАР/СГУЩ,65ГР:5
CBR00110470;КРУАССАНЫ МИНИ 7 DAYS ВАНИЛЬ,65ГР:5
CBR00110465;КРУАССАН 7 DAYS КАКАО,65ГР:5
CBR00110467;"Круассан Миди ""7 Days"" С кремом Клубника 65 гр"
CBR00110479;"Круассан Мини ""7 Days"" С начинкой вишня 200 гр"
CBR00110480;"Круассан Мини ""7 Days"" С начинкой Клубника 200 гр"
CBR00110473;"Круассан Мини ""7 Days"" С кремом Вишня-Ваниль 200 гр"
CBR00110476;"Круассан Мини ""7 Days"" С кремом Какао-Ваниль 200 гр"
CBR00110469;КРУАССАНЫ МИНИ 7 DAYS ВАНИЛЬ,200ГР:3
CBR00110471;КРУАССАНЫ МИНИ 7 DAYS ВАР/СГУЩ,200ГР:3
CBR00110475;КРУАССАНЫ МИНИ 7 DAYS КАКАО,200ГР:3
CBR00110478;"Круассан Мини ""7 Days"" С кремом Карамель 200 гр"
CBR00110472;КРУАССАНЫ МИНИ 7 DAYS ВАР/СГУЩ,65ГР:5
CBR00110474;"Круассан Мини ""7 Days"" С кремом Вишня-Ваниль 65 гр"
CBR00000659;КРУАССАНЫ МИНИ 7 DAYS КАКАО,65ГР:5
CBR00110477;"Круассан Мини ""7 Days"" С кремом Какао-Ваниль 65 гр"
CBR00110468;"Круассан Мини ""7 Days"" C начинкой Клубника 65 гр"
CBR00105693;ЙОГУРТ EHRMANN ALPENLAND КЛУБ/АНАН,7,5%,24/95ГР
CBR00115111;"Напиток йогуртный ""Эрмигурт"" Клубн-Банан 1,2% 420 гр"
